leecode_num,title,acceptance,difficulty,frequency,freq_rank
232,Implement Queue using Stacks,51.3%,Easy,1.6963272712428699,404
1095,Find in Mountain Array,35.8%,Hard,1.6891749187754552,405
983,Minimum Cost For Tickets,62.6%,Medium,1.6865918362017458,406
898,Bitwise ORs of Subarrays,34.0%,Medium,1.6844730983770144,407
241,Different Ways to Add Parentheses,56.7%,Medium,1.6841853389419148,408
277,Find the Celebrity,42.9%,Medium,1.6826676059573704,409
1253,Reconstruct a 2-Row Binary Matrix,41.2%,Medium,1.6804984402728165,410
449,Serialize and Deserialize BST,53.6%,Medium,1.6797653021541183,411
1470,Shuffle the Array,88.4%,Easy,1.6758641685958011,412
628,Maximum Product of Three Numbers,47.0%,Easy,1.6743247009450268,413
1497,Check If Array Pairs Are Divisible by k,40.5%,Medium,1.6736421531072518,414
935,Knight Dialer,46.0%,Medium,1.6714733033535532,415
980,Unique Paths III,77.1%,Hard,1.6697519805998966,416
459,Repeated Substring Pattern,43.2%,Easy,1.6683910028813371,417
390,Elimination Game,44.8%,Medium,1.6665539165537349,418
1155,Number of Dice Rolls With Target Sum,47.6%,Medium,1.6621537446226782,419
407,Trapping Rain Water II,43.6%,Hard,1.6610793087029823,420
